,q_id,question,answer,cluster,sentiment
6,23379,Как настроение?,лучше всех!,прекрасно,positives
7,23379,Как настроение?,огонь,прекрасно,positives
8,23379,Как настроение?,огонь🔥,прекрасно,positives
9,23379,Как настроение?,отлично,прекрасно,positives
10,23379,Как настроение?,отлично,прекрасно,positives
11,23379,Как настроение?,отличное,прекрасно,positives
12,23379,Как настроение?,отличное,прекрасно,positives
13,23379,Как настроение?,отличное,прекрасно,positives
14,23379,Как настроение?,отличное,прекрасно,positives
15,23379,Как настроение?,отличное,прекрасно,positives
16,23379,Как настроение?,отличное,прекрасно,positives
17,23379,Как настроение?,отличное,прекрасно,positives
18,23379,Как настроение?,отличное,прекрасно,positives
19,23379,Как настроение?,отличное,прекрасно,positives
20,23379,Как настроение?,прекрасно,прекрасно,positives
21,23379,Как настроение?,радостное,радостное,positives
22,23379,Как настроение?,супер,прекрасно,positives
23,23379,Как настроение?,супер,прекрасно,positives
24,23379,Как настроение?,супер,прекрасно,positives
25,23379,Как настроение?,супер,прекрасно,positives
26,23379,Как настроение?,до объявления пароля не очень,до объявления пароля не очень,neutrals
27,23379,Как настроение?,норм,нормально,neutrals
28,23379,Как настроение?,норм,нормально,neutrals
29,23379,Как настроение?,нормально,нормально,neutrals
30,23379,Как настроение?,нормально,нормально,neutrals
31,23379,Как настроение?,хороше,хорошее,positives
32,23379,Как настроение?,хорошее,хорошее,positives
33,23379,Как настроение?,хорошее,хорошее,positives
34,23379,Как настроение?,хорошее,хорошее,positives
35,23379,Как настроение?,хорошее,хорошее,positives
36,23379,Как настроение?,хорошее,хорошее,positives
37,23379,Как настроение?,хорошее,хорошее,positives
38,23379,Как настроение?,хорошее,хорошее,positives
39,23379,Как настроение?,хорошо,хорошее,positives
40,23379,Как настроение?,хорошо,хорошее,positives
41,23379,Как настроение?,хочется кушать и спать,хочется кушать и спать,neutrals
0,20799,Name 3 most important skills that you expect you will need in your future job.,hard working,hard working,neutrals
1,20799,Name 3 most important skills that you expect you will need in your future job.,innovation,innovation,neutrals
2,20799,Name 3 most important skills that you expect you will need in your future job.,it,it skills,neutrals
3,20799,Name 3 most important skills that you expect you will need in your future job.,it skills,it skills,neutrals
4,20799,Name 3 most important skills that you expect you will need in your future job.,leadership,leadership,positives
5,20799,Name 3 most important skills that you expect you will need in your future job.,leadership skills,leadership,positives
6,20799,Name 3 most important skills that you expect you will need in your future job.,open-mindedness,open mindedness,positives
7,20799,Name 3 most important skills that you expect you will need in your future job.,patience,patience,positives
8,20799,Name 3 most important skills that you expect you will need in your future job.,perseverance,perseverance,positives
9,20799,Name 3 most important skills that you expect you will need in your future job.,responsibility,responsibility,neutrals
10,20799,Name 3 most important skills that you expect you will need in your future job.,responsibility,responsibility,neutrals
11,20799,Name 3 most important skills that you expect you will need in your future job.,soft,soft skills,neutrals
12,20799,Name 3 most important skills that you expect you will need in your future job.,soft skills,soft skills,neutrals
13,20799,Name 3 most important skills that you expect you will need in your future job.,soft skills,soft skills,neutrals
14,20799,Name 3 most important skills that you expect you will need in your future job.,stress resistance,stress resistance,positives
0,21584,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",руководитель отдела,руководитель отдела,neutrals
1,21584,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",создаёт творческую атмосферу,создаёт творческую атмосферу,neutrals
2,21584,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",стремится сам,стремится сам,neutrals
3,21584,"Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.",человек делающий правильно пра,человек делающий правильно пра,positives
0,23423,Что поможет сделать программу более полезной для вас?,больше примеров из росатома,больше примеров из росатома,neutrals
1,23423,Что поможет сделать программу более полезной для вас?,включение теории,включение теории,neutrals
2,23423,Что поможет сделать программу более полезной для вас?,все,все,neutrals
3,23423,Что поможет сделать программу более полезной для вас?,очное участие,очный формат,neutrals
4,23423,Что поможет сделать программу более полезной для вас?,очное участие,очный формат,neutrals
5,23423,Что поможет сделать программу более полезной для вас?,очный формат,очный формат,neutrals
6,23423,Что поможет сделать программу более полезной для вас?,очный формат,очный формат,neutrals
7,23423,Что поможет сделать программу более полезной для вас?,практика,практика,neutrals
8,23423,Что поможет сделать программу более полезной для вас?,устранение технических проблем,устранение технических проблем,positives
0,23023,Напишите ваши ожидания от курса в 2х словах?,новые возможности,новые возможности,positives
1,23023,Напишите ваши ожидания от курса в 2х словах?,новые смыслы образовательных с,новые смыслы образовательных с,neutrals
2,23023,Напишите ваши ожидания от курса в 2х словах?,профильный летний лагерь,профильный летний лагерь,neutrals
3,23023,Напишите ваши ожидания от курса в 2х словах?,содержательно,содержательно,positives
0,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),пессимизм,пессимизм,neutrals
1,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),поиск,поиск,neutrals
2,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),политика,политика,neutrals
3,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),политические деятели,политические деятели,neutrals
4,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),президенты,президенты,neutrals
5,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),равноправие,равноправие,positives
6,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),рациональность,рациональность,neutrals
7,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),развитие,развитие,positives
8,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),решение,решение,neutrals
9,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),сила,сила,positives
10,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),сила,сила,positives
11,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),сотрудничество,сотрудничество,positives
12,21817,Ключевые ассоциации с парадигмой политического реализма (5 слов),сотрудничество,сотрудничество,positives
0,23360,Откуда вы? (Город),евпатория,евпатория,neutrals
1,23360,Откуда вы? (Город),могилев,могилев,neutrals
2,23360,Откуда вы? (Город),могилев,могилев,neutrals
3,23360,Откуда вы? (Город),могилев беларусь,могилев,neutrals
4,23360,Откуда вы? (Город),москва,москва,neutrals
5,23360,Откуда вы? (Город),москва,москва,neutrals
6,23360,Откуда вы? (Город),реутов,реутов,neutrals
7,23360,Откуда вы? (Город),санк-петербург,санкт петербург,neutrals
8,23360,Откуда вы? (Город),санкт-петербург,санкт петербург,neutrals
0,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),удовольствие,удовольствие,positives
1,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),удовольствие,удовольствие,positives
2,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),эйфория,удовольствие,positives
3,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),это было круто!,это было круто,positives
4,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),изумление,изумление,neutrals
5,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),интерес,интерес,positives
6,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),интерес,интерес,positives
7,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),интересно,интерес,positives
8,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),испуг,испуг,neutrals
9,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),общение,общение,neutrals
10,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),умиротворение,умиротворение,positives
11,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),усталость,усталость,negatives
12,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),усталость,усталость,negatives
13,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),усталость,усталость,negatives
14,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),усталость,усталость,negatives
15,20785,Какие эмоции вы испытали от участия в Чемпионате? (введите не более 3-х слов),чувство единения команды,чувство единения команды,positives
0,23465,Что поможет сделать программу более полезной для вас?,более углублённое изучение,более углублённое изучение,neutrals
1,23465,Что поможет сделать программу более полезной для вас?,больше дней с практикой,практика,neutrals
2,23465,Что поможет сделать программу более полезной для вас?,все отлично,все отлично,positives
3,23465,Что поможет сделать программу более полезной для вас?,все отлично,все отлично,positives
4,23465,Что поможет сделать программу более полезной для вас?,доп кейсы,дополнительное решение,neutrals
5,23465,Что поможет сделать программу более полезной для вас?,практика,практика,neutrals
6,23465,Что поможет сделать программу более полезной для вас?,практика,практика,neutrals
7,23465,Что поможет сделать программу более полезной для вас?,смена команд,смена команд,neutrals
0,21586,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",понимание своего влияния,понимание своего влияния,neutrals
1,21586,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",практические навыки,практические навыки,neutrals
2,21586,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",психологич,психологические,neutrals
3,21586,"1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?",чф,чф,neutrals
0,23464,Ваши открытия за время обучения на модуле,все,все,neutrals
1,23464,Ваши открытия за время обучения на модуле,интересные результаты тестиров,интересные результаты тестирования,positives
2,23464,Ваши открытия за время обучения на модуле,много всего интересного,много всего интересного,positives
3,23464,Ваши открытия за время обучения на модуле,не одно,не одно,neutrals
4,23464,Ваши открытия за время обучения на модуле,переговоры,переговоры,neutrals
5,23464,Ваши открытия за время обучения на модуле,структуризация переговоров,структуризация переговоров,neutrals
6,23464,Ваши открытия за время обучения на модуле,твёрдость не всегда правильно,твердость не всегда хороша,neutrals
7,23464,Ваши открытия за время обучения на модуле,твердость не всегда хороша,твердость не всегда хороша,neutrals
0,23432,Ваши открытия за время обучения на модуле,мало используем по для менеджм,мало используем по для менеджмента,negatives
1,23432,Ваши открытия за время обучения на модуле,метаданные,метаданные,neutrals
2,23432,Ваши открытия за время обучения на модуле,много инструментов,много инструментов,neutrals
3,23432,Ваши открытия за время обучения на модуле,нет,нет,neutrals
4,23432,Ваши открытия за время обучения на модуле,нужен стабильный интернет,нужен стабильный интернет,neutrals
5,23432,Ваши открытия за время обучения на модуле,цифровизация везде,цифровизация везде,neutrals
6,23432,Ваши открытия за время обучения на модуле,яндекс.формы),яндекс формы,neutrals
0,23433,Что поможет сделать программу более полезной для вас?,возможность выбирать задания,возможность выбирать задания,neutrals
1,23433,Что поможет сделать программу более полезной для вас?,все хорошо,все хорошо,positives
2,23433,Что поможет сделать программу более полезной для вас?,детальное разъяснения,детальные разъяснения,positives
3,23433,Что поможет сделать программу более полезной для вас?,заранее изучить теорию,заранее изучить теорию,neutrals
4,23433,Что поможет сделать программу более полезной для вас?,кроме игры неплохо бы теорию,кроме игры неплохо бы теорию,neutrals
5,23433,Что поможет сделать программу более полезной для вас?,ограничения по инфбезопасности,ограничения по инфбезопасности,neutrals
6,23433,Что поможет сделать программу более полезной для вас?,понимание что у нас есть,понимание что у нас есть,positives
7,23433,Что поможет сделать программу более полезной для вас?,проходить индивидуально,проходить индивидуально,neutrals
0,21571,С чем у Вас ассоциируется прошедшая сессия?,функционал,функционал,neutrals
1,21571,С чем у Вас ассоциируется прошедшая сессия?,хорошей возможностью подумать,хорошей возможностью подумать,positives
2,21571,С чем у Вас ассоциируется прошедшая сессия?,цели,цели,neutrals
3,21571,С чем у Вас ассоциируется прошедшая сессия?,цель,цели,neutrals
4,21571,С чем у Вас ассоциируется прошедшая сессия?,шан на движение вперед,шанс на движение вперед,positives
5,21571,С чем у Вас ассоциируется прошедшая сессия?,напряжение,напряжение,negatives
6,21571,С чем у Вас ассоциируется прошедшая сессия?,удобство,удобство,positives
0,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода актора,свобода актора,positives
1,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода актора,свобода актора,positives
2,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода идея люди рынок мир,свобода идея люди рынок мир,positives
3,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,свобода права и морали,свобода права и морали,positives
4,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,свободное право,свободное право,positives
5,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,сотрудничество,сотрудничество,positives
6,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,сотрудничество,сотрудничество,positives
7,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,универсальные ценности,универсальные ценности,neutrals
8,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,частная собственность,частная собственность,neutrals
9,21718,Ключевые ассоциации с либерально-идеалистической парадигмой,частная собственность,частная собственность,neutrals
0,20398,What countries are major recipients of FDI?,singapore,singapore,neutrals
1,20398,What countries are major recipients of FDI?,singapore,singapore,neutrals
2,20398,What countries are major recipients of FDI?,singapore,singapore,neutrals
3,20398,What countries are major recipients of FDI?,singapore,singapore,neutrals
4,20398,What countries are major recipients of FDI?,south america,south america,neutrals
5,20398,What countries are major recipients of FDI?,swiss,swiss,neutrals
6,20398,What countries are major recipients of FDI?,thailand,thailand,neutrals
7,20398,What countries are major recipients of FDI?,turkey,turkey,neutrals
8,20398,What countries are major recipients of FDI?,uae,uae,neutrals
9,20398,What countries are major recipients of FDI?,uae,uae,neutrals
10,20398,What countries are major recipients of FDI?,uk,united kingdom,neutrals
11,20398,What countries are major recipients of FDI?,uk,united kingdom,neutrals
12,20398,What countries are major recipients of FDI?,uk,united kingdom,neutrals
13,20398,What countries are major recipients of FDI?,united kingdom,united kingdom,neutrals
14,20398,What countries are major recipients of FDI?,vietnam,vietnam,neutrals
0,21756,Опишите одним словом ваше текущее состояние,сложно,сложно,negatives
1,21756,Опишите одним словом ваше текущее состояние,тяжело,сложно,negatives
2,21756,Опишите одним словом ваше текущее состояние,смятение,смятение,negatives
3,21756,Опишите одним словом ваше текущее состояние,смятение,смятение,negatives
4,21756,Опишите одним словом ваше текущее состояние,собранность,сосредоточенность,positives
5,21756,Опишите одним словом ваше текущее состояние,собранность,сосредоточенность,positives
6,21756,Опишите одним словом ваше текущее состояние,сосредоточенность,сосредоточенность,positives
7,21756,Опишите одним словом ваше текущее состояние,сосредоточенность,сосредоточенность,positives
8,21756,Опишите одним словом ваше текущее состояние,сожаление,сожаление,neutrals
9,21756,Опишите одним словом ваше текущее состояние,стабильно,стабильное,neutrals
10,21756,Опишите одним словом ваше текущее состояние,стабильно,стабильное,neutrals
11,21756,Опишите одним словом ваше текущее состояние,стабильно,стабильное,neutrals
12,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
13,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
14,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
15,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
16,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
17,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
18,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
19,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
20,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
21,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
22,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
23,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
24,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
25,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
26,21756,Опишите одним словом ваше текущее состояние,стабильное,стабильное,positives
27,21756,Опишите одним словом ваше текущее состояние,стабильность,стабильное,positives
28,21756,Опишите одним словом ваше текущее состояние,стабильность,стабильное,positives
29,21756,Опишите одним словом ваше текущее состояние,стабильность,стабильное,positives
30,21756,Опишите одним словом ваше текущее состояние,стагнация,стагнация,negatives
31,21756,Опишите одним словом ваше текущее состояние,стараюсь отвлечься,стараюсь отвлечься,neutrals
32,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
33,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
34,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
35,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
36,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
37,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
38,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
39,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
40,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
41,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
42,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
43,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
44,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
45,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
46,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
47,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
48,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
49,21756,Опишите одним словом ваше текущее состояние,стресс,стресс,negatives
50,21756,Опишите одним словом ваше текущее состояние,твик из южного парка,твик из южного парка,neutrals
51,21756,Опишите одним словом ваше текущее состояние,текущее положение в стране,текущее положение в стране,neutrals
52,21756,Опишите одним словом ваше текущее состояние,только вперед),только вперед,positives
53,21756,Опишите одним словом ваше текущее состояние,ультрамыслительное,ультрамыслительное,neutrals
54,21756,Опишите одним словом ваше текущее состояние,упадок,упадок,negatives
55,21756,Опишите одним словом ваше текущее состояние,упадок сил,упадок,negatives
56,21756,Опишите одним словом ваше текущее состояние,хаос,хаос,negatives
57,21756,Опишите одним словом ваше текущее состояние,целеустремленность,целеустремлённость,positives
58,21756,Опишите одним словом ваше текущее состояние,целеустремлённость,целеустремлённость,positives
59,21756,Опишите одним словом ваше текущее состояние,цели понятны,цели понятны,positives
60,21756,Опишите одним словом ваше текущее состояние,частые перепады настроения,частые перепады настроения,negatives
61,21756,Опишите одним словом ваше текущее состояние,эмоциональная мясорубка,частые перепады настроения,negatives
62,21756,Опишите одним словом ваше текущее состояние,шок,шок,neutrals
63,21756,Опишите одним словом ваше текущее состояние,шок,шок,neutrals
0,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",развитие it,развитие it,positives
1,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",тем. встречи квиз,тематические встречи опрос,neutrals
2,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",тех. туры,технические туры,neutrals
3,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",технические туры на аэс,технические туры на аэс,neutrals
4,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",технические туры на аэс и т.д.,технические туры на аэс,neutrals
5,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",техтуры,технические туры,neutrals
6,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",туристическое тех.туры,технические туры,neutrals
7,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",участие в разрешении проблем,участие в разрешении проблем,neutrals
8,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",цех,цех,neutrals
9,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",цифровизация,цифровизация,neutrals
10,21819,"Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?",чтгдк-да...,чтгдк да,neutrals
0,23239,Напишите 3 (три) ваши ассоциации с Китаем,украсть технологии задешево,украсть технологии задешево,negatives
1,23239,Напишите 3 (три) ваши ассоциации с Китаем,четко знают свою выгоду,четко знают свою выгоду,positives
2,23239,Напишите 3 (три) ваши ассоциации с Китаем,шанхай,шанхай,neutrals
3,23239,Напишите 3 (три) ваши ассоциации с Китаем,шаолинь,шаолинь,neutrals
4,23239,Напишите 3 (три) ваши ассоциации с Китаем,экономика,экономика,neutrals
0,23097,"Напишите свою ассоциацию со словом ""бюрократ""",сразунеподписывающий,сразу не подписывающий,neutrals
1,23097,"Напишите свою ассоциацию со словом ""бюрократ""",срок,сроки,neutrals
2,23097,"Напишите свою ассоциацию со словом ""бюрократ""",сроки,сроки,neutrals
3,23097,"Напишите свою ассоциацию со словом ""бюрократ""",стабильный,стабильный,positives
4,23097,"Напишите свою ассоциацию со словом ""бюрократ""",стандарт,стандарт,neutrals
5,23097,"Напишите свою ассоциацию со словом ""бюрократ""",стандартизация,стандарт,neutrals
6,23097,"Напишите свою ассоциацию со словом ""бюрократ""",стена,стена,neutrals
7,23097,"Напишите свою ассоциацию со словом ""бюрократ""",стиль жизни,стиль жизни,neutrals
8,23097,"Напишите свою ассоциацию со словом ""бюрократ""",стол,стол,neutrals
