Unnamed: 0,id,question,answer,sentiment,corrected,text
2,10106,Что вы сможете использовать в своей работе?,правило 5 «почему» :),neutrals,правило 5 «почему» :),passage:правило 5 «почему» :)
3,10106,Что вы сможете использовать в своей работе?,умение работать в команде,neutrals,умение работать в команде,passage:умение работать в команде
4,10106,Что вы сможете использовать в своей работе?,картирование и анализ,neutrals,картирование и анализ,passage:картирование и анализ
5,10106,Что вы сможете использовать в своей работе?,четкое формулирование проблемы,neutrals,четкое формулирование проблемы,passage:четкое формулирование проблемы
6,10106,Что вы сможете использовать в своей работе?,многон,neutrals,многон,passage:многон
7,10106,Что вы сможете использовать в своей работе?,методы выявления проблем,neutrals,методы выявления проблем,passage:методы выявления проблем
8,10106,Что вы сможете использовать в своей работе?,методы решения проблем,neutrals,методы решения проблем,passage:методы решения проблем
9,10106,Что вы сможете использовать в своей работе?,картирование,neutrals,картирование,passage:картирование
10,10106,Что вы сможете использовать в своей работе?,постановку проблемы и поиск р,neutrals,постановку проблемы и поиск р,passage:постановку проблемы и поиск р
11,10106,Что вы сможете использовать в своей работе?,поиск решения,neutrals,поиск решения,passage:поиск решения
12,10106,Что вы сможете использовать в своей работе?,способ «5 почему»,neutrals,способ «5 почему»,passage:способ «5 почему»
13,10106,Что вы сможете использовать в своей работе?,инструмент картирования,neutrals,инструмент картирования,passage:инструмент картирования
14,10106,Что вы сможете использовать в своей работе?,все,neutrals,все,passage:все
15,10106,Что вы сможете использовать в своей работе?,картирование,neutrals,картирование,passage:картирование
16,10106,Что вы сможете использовать в своей работе?,5с,neutrals,5с,passage:5с
17,10106,Что вы сможете использовать в своей работе?,картирование,neutrals,картирование,passage:картирование
18,10106,Что вы сможете использовать в своей работе?,находить проблему,neutrals,находить проблему,passage:находить проблему
19,10106,Что вы сможете использовать в своей работе?,да,neutrals,да,passage:да
0,1036,Что хорошего сделал за день?,поела,neutrals,поела,passage:поела
1,1036,Что хорошего сделал за день?,решил вопрос,neutrals,решил вопрос,passage:решил вопрос
2,1036,Что хорошего сделал за день?,2,neutrals,2,passage:2
3,1036,Что хорошего сделал за день?,потестил,neutrals,потестил,passage:потестил
4,1036,Что хорошего сделал за день?,поучаствовал в ретро,neutrals,поучаствовал в ретро,passage:поучаствовал в ретро
5,1036,Что хорошего сделал за день?,поработал,neutrals,поработал,passage:поработал
6,1036,Что хорошего сделал за день?,проснулся :),neutrals,проснулся :),passage:проснулся :)
7,1036,Что хорошего сделал за день?,участвовал в совещаниях,neutrals,участвовал в совещаниях,passage:участвовал в совещаниях
8,1036,Что хорошего сделал за день?,поела,neutrals,поела,passage:поела
9,1036,Что хорошего сделал за день?,создала себе новогоднее настроение,neutrals,создала себе новогоднее настроение,passage:создала себе новогоднее настроение
10,1036,Что хорошего сделал за день?,🙈,neutrals,🙈,passage:🙈
11,1036,Что хорошего сделал за день?,testing answer,neutrals,testing answer,passage:testing answer
12,1036,Что хорошего сделал за день?,покушал,neutrals,покушал,passage:покушал
13,1036,Что хорошего сделал за день?,порадовал своим присутствием >.<,neutrals,порадовал своим присутствием >.<,passage:порадовал своим присутствием >.<
14,1036,Что хорошего сделал за день?,помыл руки,neutrals,помыл руки,passage:помыл руки
15,1036,Что хорошего сделал за день?,поработал,neutrals,поработал,passage:поработал
16,1036,Что хорошего сделал за день?,успешный успех,neutrals,успешный успех,passage:успешный успех
17,1036,Что хорошего сделал за день?,покушал,neutrals,покушал,passage:покушал
18,1036,Что хорошего сделал за день?,приехал в офис,neutrals,приехал в офис,passage:приехал в офис
19,1036,Что хорошего сделал за день?,посмеялась,neutrals,посмеялась,passage:посмеялась
20,1036,Что хорошего сделал за день?,привет,neutrals,привет,passage:привет
21,1036,Что хорошего сделал за день?,<blink>hello there</blink>,neutrals,<blink>hello there</blink>,passage:<blink>hello there</blink>
22,1036,Что хорошего сделал за день?,закрыла все задачи),neutrals,закрыла все задачи),passage:закрыла все задачи)
23,1036,Что хорошего сделал за день?,";!""№; 35",neutrals,";!""№; 35","passage:;!""№; 35"
24,1036,Что хорошего сделал за день?,123www,neutrals,123www,passage:123www
25,1036,Что хорошего сделал за день?,<i><b>много всего</i></b>,neutrals,<i><b>много всего</i></b>,passage:<i><b>много всего</i></b>
26,1036,Что хорошего сделал за день?,сделала презентацию,neutrals,сделала презентацию,passage:сделала презентацию
27,1036,Что хорошего сделал за день?,достиг целей,neutrals,достиг целей,passage:достиг целей
28,1036,Что хорошего сделал за день?,макет,neutrals,макет,passage:макет
29,1036,Что хорошего сделал за день?,поел,neutrals,поел,passage:поел
30,1036,Что хорошего сделал за день?,потестил,neutrals,потестил,passage:потестил
31,1036,Что хорошего сделал за день?,провел 10 встреч,neutrals,провел 10 встреч,passage:провел 10 встреч
32,1036,Что хорошего сделал за день?,работаю вот,neutrals,работаю вот,passage:работаю вот
33,1036,Что хорошего сделал за день?,123www,neutrals,123www,passage:123www
34,1036,Что хорошего сделал за день?,.net code,neutrals,.net code,passage:.net code
35,1036,Что хорошего сделал за день?,нашел багу,neutrals,нашел багу,passage:нашел багу
36,1036,Что хорошего сделал за день?,погладил котика ^^,neutrals,погладил котика ^^,passage:погладил котика ^^
37,1036,Что хорошего сделал за день?,выполнил план,neutrals,выполнил план,passage:выполнил план
38,1036,Что хорошего сделал за день?,переговоры,neutrals,переговоры,passage:переговоры
39,1036,Что хорошего сделал за день?,не умер,neutrals,не умер,passage:не умер
40,1036,Что хорошего сделал за день?,поработал,neutrals,поработал,passage:поработал
41,1036,Что хорошего сделал за день?,поработал,neutrals,поработал,passage:поработал
42,1036,Что хорошего сделал за день?,příliš žluťoučký kůň úpěl ďábelské ódy,neutrals,příliš žluťoučký kůň úpěl ďábelské ódy,passage:příliš žluťoučký kůň úpěl ďábelské ódy
43,1036,Что хорошего сделал за день?,поработал,neutrals,поработал,passage:поработал
0,1104,Ваша главная эмоции сейчас?,супер!,neutrals,супер!,passage:супер!
1,1104,Ваша главная эмоции сейчас?,ожидание,neutrals,ожидание,passage:ожидание
2,1104,Ваша главная эмоции сейчас?,волнение,neutrals,волнение,passage:волнение
3,1104,Ваша главная эмоции сейчас?,радость,neutrals,радость,passage:радость
4,1104,Ваша главная эмоции сейчас?,предвкушение,neutrals,предвкушение,passage:предвкушение
5,1104,Ваша главная эмоции сейчас?,предвкушение,neutrals,предвкушение,passage:предвкушение
6,1104,Ваша главная эмоции сейчас?,волнение,neutrals,волнение,passage:волнение
7,1104,Ваша главная эмоции сейчас?,устойчивое любопытство,neutrals,устойчивое любопытство,passage:устойчивое любопытство
8,1104,Ваша главная эмоции сейчас?,радость,neutrals,радость,passage:радость
9,1104,Ваша главная эмоции сейчас?,хочу кофе,neutrals,хочу кофе,passage:хочу кофе
10,1104,Ваша главная эмоции сейчас?,интерес,neutrals,интерес,passage:интерес
11,1104,Ваша главная эмоции сейчас?,вдохновение,neutrals,вдохновение,passage:вдохновение
12,1104,Ваша главная эмоции сейчас?,интерес,neutrals,интерес,passage:интерес
13,1104,Ваша главная эмоции сейчас?,радость,neutrals,радость,passage:радость
14,1104,Ваша главная эмоции сейчас?,драйв,neutrals,драйв,passage:драйв
15,1104,Ваша главная эмоции сейчас?,ожидание,neutrals,ожидание,passage:ожидание
16,1104,Ваша главная эмоции сейчас?,волнение,neutrals,волнение,passage:волнение
17,1104,Ваша главная эмоции сейчас?,стартовое волнение,neutrals,стартовое волнение,passage:стартовое волнение
18,1104,Ваша главная эмоции сейчас?,удовлетворение,neutrals,удовлетворение,passage:удовлетворение
19,1104,Ваша главная эмоции сейчас?,предвкушение,neutrals,предвкушение,passage:предвкушение
20,1104,Ваша главная эмоции сейчас?,непонимание,neutrals,непонимание,passage:непонимание
21,1104,Ваша главная эмоции сейчас?,предчувствие неожиданного,neutrals,предчувствие неожиданного,passage:предчувствие неожиданного
22,1104,Ваша главная эмоции сейчас?,👌,neutrals,👌,passage:👌
23,1104,Ваша главная эмоции сейчас?,у меня все получится,neutrals,у меня все получится,passage:у меня все получится
24,1104,Ваша главная эмоции сейчас?,восторг,neutrals,восторг,passage:восторг
25,1104,Ваша главная эмоции сейчас?,нет вай фай...,neutrals,нет вай фай...,passage:нет вай фай...
26,1104,Ваша главная эмоции сейчас?,работа,neutrals,работа,passage:работа
27,1104,Ваша главная эмоции сейчас?,кайф,neutrals,кайф,passage:кайф
28,1104,Ваша главная эмоции сейчас?,восторг,neutrals,восторг,passage:восторг
29,1104,Ваша главная эмоции сейчас?,счастье,neutrals,счастье,passage:счастье
30,1104,Ваша главная эмоции сейчас?,радость,neutrals,радость,passage:радость
31,1104,Ваша главная эмоции сейчас?,кайф,neutrals,кайф,passage:кайф
32,1104,Ваша главная эмоции сейчас?,ожидание спокойное,neutrals,ожидание спокойное,passage:ожидание спокойное
33,1104,Ваша главная эмоции сейчас?,хочу кофе,neutrals,хочу кофе,passage:хочу кофе
34,1104,Ваша главная эмоции сейчас?,драйв,neutrals,драйв,passage:драйв
35,1104,Ваша главная эмоции сейчас?,страшно чутка,neutrals,страшно чутка,passage:страшно чутка
36,1104,Ваша главная эмоции сейчас?,волнение,neutrals,волнение,passage:волнение
37,1104,Ваша главная эмоции сейчас?,заинтересованность,neutrals,заинтересованность,passage:заинтересованность
38,1104,Ваша главная эмоции сейчас?,спать хочется,neutrals,спать хочется,passage:спать хочется
39,1104,Ваша главная эмоции сейчас?,радость,neutrals,радость,passage:радость
40,1104,Ваша главная эмоции сейчас?,действие,neutrals,действие,passage:действие
41,1104,Ваша главная эмоции сейчас?,вдохновение,neutrals,вдохновение,passage:вдохновение
42,1104,Ваша главная эмоции сейчас?,волнение,neutrals,волнение,passage:волнение
43,1104,Ваша главная эмоции сейчас?,радость,neutrals,радость,passage:радость
0,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,воспитание осознанности,neutrals,воспитание осознанности,passage:воспитание осознанности
1,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство вовлеченность vz,neutrals,лидерство вовлеченность vz,passage:лидерство вовлеченность vz
2,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,управление уровнем кб поставщи,neutrals,управление уровнем кб поставщи,passage:управление уровнем кб поставщи
3,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,плакаты,neutrals,плакаты,passage:плакаты
4,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
5,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство руководителей,neutrals,лидерство руководителей,passage:лидерство руководителей
6,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,развитие лидерства,neutrals,развитие лидерства,passage:развитие лидерства
7,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,"обратная связь, лидерство",neutrals,"обратная связь, лидерство","passage:обратная связь, лидерство"
8,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,обучение наставника,neutrals,обучение наставника,passage:обучение наставника
9,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерская позиция по безопасно,neutrals,лидерская позиция по безопасно,passage:лидерская позиция по безопасно
10,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,доверие,neutrals,доверие,passage:доверие
11,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,обучение,neutrals,обучение,passage:обучение
12,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,повышение сплочености,neutrals,повышение сплочености,passage:повышение сплочености
13,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,открытрсть,neutrals,открытрсть,passage:открытрсть
14,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,открытый диалог,neutrals,открытый диалог,passage:открытый диалог
15,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,включение в процесс,neutrals,включение в процесс,passage:включение в процесс
16,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,понимание важности,neutrals,понимание важности,passage:понимание важности
17,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
18,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
19,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство и открытость,neutrals,лидерство и открытость,passage:лидерство и открытость
20,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,communication,neutrals,communication,passage:communication
21,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,"лидерство, наблюдения, обп св.",neutrals,"лидерство, наблюдения, обп св.","passage:лидерство, наблюдения, обп св."
22,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,сохранение жизни и здоровья,neutrals,сохранение жизни и здоровья,passage:сохранение жизни и здоровья
23,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,развитие партнерского подхода,neutrals,развитие партнерского подхода,passage:развитие партнерского подхода
24,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
25,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,понимание,neutrals,понимание,passage:понимание
26,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,приверженность,neutrals,приверженность,passage:приверженность
27,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,масштабирование,neutrals,масштабирование,passage:масштабирование
28,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
29,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,начинаем с себя,neutrals,начинаем с себя,passage:начинаем с себя
30,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,изменение мировоззрения работн,neutrals,изменение мировоззрения работн,passage:изменение мировоззрения работн
31,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
32,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,роль руководителей лидеров,neutrals,роль руководителей лидеров,passage:роль руководителей лидеров
33,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,отсутствие двойных стандартов,neutrals,отсутствие двойных стандартов,passage:отсутствие двойных стандартов
34,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,развитие лидерств,neutrals,развитие лидерств,passage:развитие лидерств
35,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,работа с осознаностью перслнал,neutrals,работа с осознаностью перслнал,passage:работа с осознаностью перслнал
36,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,"мотивация, обучение",neutrals,"мотивация, обучение","passage:мотивация, обучение"
37,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,устанавливаются связи,neutrals,устанавливаются связи,passage:устанавливаются связи
38,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,развитие,neutrals,развитие,passage:развитие
39,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
40,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,неформальный подход,neutrals,неформальный подход,passage:неформальный подход
41,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,донести информацию до каждого,neutrals,донести информацию до каждого,passage:донести информацию до каждого
42,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,знания,neutrals,знания,passage:знания
43,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
44,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,атмосфера открытости и доверия,neutrals,атмосфера открытости и доверия,passage:атмосфера открытости и доверия
45,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,индивидуальная приверженность,neutrals,индивидуальная приверженность,passage:индивидуальная приверженность
46,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,продвижение среди подрядчиков,neutrals,продвижение среди подрядчиков,passage:продвижение среди подрядчиков
47,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,взаимодействие,neutrals,взаимодействие,passage:взаимодействие
48,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,обратная связь,neutrals,обратная связь,passage:обратная связь
49,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,вовлеченность персонала,neutrals,вовлеченность персонала,passage:вовлеченность персонала
50,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство руководителей,neutrals,лидерство руководителей,passage:лидерство руководителей
51,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,работа с инфлрмированием,neutrals,работа с инфлрмированием,passage:работа с инфлрмированием
52,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,вовлечение руководителей,neutrals,вовлечение руководителей,passage:вовлечение руководителей
53,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,видимость результата,neutrals,видимость результата,passage:видимость результата
54,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,лидерство,neutrals,лидерство,passage:лидерство
55,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,внедрение ипо,neutrals,внедрение ипо,passage:внедрение ипо
56,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,развитие лидерства,neutrals,развитие лидерства,passage:развитие лидерства
57,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,поиск рисков,neutrals,поиск рисков,passage:поиск рисков
58,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,открытость,neutrals,открытость,passage:открытость
59,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,коммуникация,neutrals,коммуникация,passage:коммуникация
60,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,знания,neutrals,знания,passage:знания
61,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,вовлечение перс-а всех уровней,neutrals,вовлечение перс-а всех уровней,passage:вовлечение перс-а всех уровней
62,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,ответственность,neutrals,ответственность,passage:ответственность
63,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,начать,neutrals,начать,passage:начать
64,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,объяснить важность,neutrals,объяснить важность,passage:объяснить важность
65,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,научить,neutrals,научить,passage:научить
66,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,"осознанность, коммуникация и в",neutrals,"осознанность, коммуникация и в","passage:осознанность, коммуникация и в"
67,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,нулевой травматизм,neutrals,нулевой травматизм,passage:нулевой травматизм
68,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,выявление и решение проблем,neutrals,выявление и решение проблем,passage:выявление и решение проблем
69,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,развитие лидерства,neutrals,развитие лидерства,passage:развитие лидерства
70,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,методы предотвращения ошибок,neutrals,методы предотвращения ошибок,passage:методы предотвращения ошибок
71,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,руководство и лидерство,neutrals,руководство и лидерство,passage:руководство и лидерство
72,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,приверженность,neutrals,приверженность,passage:приверженность
73,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,мотивация персонала,neutrals,мотивация персонала,passage:мотивация персонала
74,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,осознание,neutrals,осознание,passage:осознание
75,12022,Что сейчас в Вашей организации является самым важным в области развития культуры безопасности?,системность,neutrals,системность,passage:системность
